Date,AMZN
3/9/2017,853
3/10/2017,852.460022
3/13/2017,854.590027
3/14/2017,852.530029
3/15/2017,852.969971
3/16/2017,853.419983
3/17/2017,852.309998
3/20/2017,856.969971
3/21/2017,843.200012
3/22/2017,848.059998
3/23/2017,847.380005
3/24/2017,845.609985
3/27/2017,846.820007
3/28/2017,856
3/29/2017,874.320007
3/30/2017,876.340027
3/31/2017,886.539978
4/3/2017,891.51001
4/4/2017,906.830017
4/5/2017,909.280029
4/6/2017,898.280029
4/7/2017,894.880005
4/10/2017,907.039978
4/11/2017,902.359985
4/12/2017,896.22998
4/13/2017,884.669983
4/17/2017,901.98999
4/18/2017,903.780029
4/19/2017,899.200012
4/20/2017,902.059998
4/21/2017,898.530029
4/24/2017,907.409973
4/25/2017,907.619995
4/26/2017,909.289978
4/27/2017,918.380005
4/28/2017,924.98999
5/1/2017,948.22998
5/2/2017,946.940002
5/3/2017,941.030029
5/4/2017,937.530029
5/5/2017,934.150024
5/8/2017,949.039978
5/9/2017,952.820007
5/10/2017,948.950012
5/11/2017,947.619995
5/12/2017,961.349976
5/15/2017,957.969971
5/16/2017,966.070007
5/17/2017,944.76001
5/18/2017,958.48999
5/19/2017,959.840027
5/22/2017,970.669983
5/23/2017,971.539978
5/24/2017,980.349976
5/25/2017,993.380005
5/26/2017,995.780029
5/30/2017,996.700012
5/31/2017,994.619995
6/1/2017,995.950012
6/2/2017,1006.72998
6/5/2017,1011.340027
6/6/2017,1003
6/7/2017,1010.070007
6/8/2017,1010.27002
6/9/2017,978.309998
6/12/2017,964.909973
6/13/2017,980.789978
6/14/2017,976.469971
6/15/2017,964.169983
6/16/2017,987.710022
6/19/2017,995.169983
6/20/2017,992.590027
6/21/2017,1002.22998
6/22/2017,1001.299988
6/23/2017,1003.73999
6/26/2017,993.97998
6/27/2017,976.780029
6/28/2017,990.330017
6/29/2017,975.929993
6/30/2017,968
7/3/2017,953.659973
7/5/2017,971.400024
7/6/2017,965.140015
7/7/2017,978.76001
7/10/2017,996.469971
7/11/2017,994.130005
7/12/2017,1006.51001
7/13/2017,1000.630005
7/14/2017,1001.809998
7/17/2017,1010.039978
7/18/2017,1024.449951
7/19/2017,1026.869995
7/20/2017,1028.699951
7/21/2017,1025.670044
7/24/2017,1038.949951
7/25/2017,1039.869995
7/26/2017,1052.800049
7/27/2017,1046
7/28/2017,1020.039978
7/31/2017,987.780029
8/1/2017,996.190002
8/2/2017,995.890015
8/3/2017,986.919983
8/4/2017,987.580017
8/7/2017,992.27002
8/8/2017,989.840027
8/9/2017,982.01001
8/10/2017,956.919983
8/11/2017,967.98999
8/14/2017,983.299988
8/15/2017,982.73999
8/16/2017,978.179993
8/17/2017,960.570007
8/18/2017,958.469971
8/21/2017,953.289978
8/22/2017,966.900024
8/23/2017,958
8/24/2017,952.450012
8/25/2017,945.26001
